"OriginalPath","DestinationPath","Bytes","SHA256","Status"
"14-主流开源模型全景解析与技术报告精读/14.1-DeepSeek/01-DeepSeek-Coder/images/chart_04_fim_ablation_curve_a.jpg","_sources/model-reports/deepseek/deepseek-coder/images/chart_04_fim_ablation_curve_a.jpg","19965","1211caaa93b313e95d3a1261d74dd3d73d174afb021685db4cb5d73274b9824a","verified"
"14-主流开源模型全景解析与技术报告精读/14.1-DeepSeek/01-DeepSeek-Coder/images/chart_05_fim_ablation_curve_b.jpg","_sources/model-reports/deepseek/deepseek-coder/images/chart_05_fim_ablation_curve_b.jpg","18440","f6779d9ea84b04c82dfbda11f3da37c15b5875251fe2322658f92a52e5e8c134","verified"
"14-主流开源模型全景解析与技术报告精读/14.1-DeepSeek/01-DeepSeek-Coder/images/chart_06_fim_ablation_curve_c.jpg","_sources/model-reports/deepseek/deepseek-coder/images/chart_06_fim_ablation_curve_c.jpg","20593","5f7e27bbdcb6bdc78133c94568e38339a73f5aa35ccac71b8385dfb68bea4e4b","verified"
"14-主流开源模型全景解析与技术报告精读/14.1-DeepSeek/01-DeepSeek-Coder/images/chart_12_leetcode_runtime_distribution.jpg","_sources/model-reports/deepseek/deepseek-coder/images/chart_12_leetcode_runtime_distribution.jpg","5676","74f024138a758e65444ca16d9b3883147128e597d3b86ab105800938ef7a8634","verified"
"14-主流开源模型全景解析与技术报告精读/14.1-DeepSeek/01-DeepSeek-Coder/images/chart_13_training_curve_1.jpg","_sources/model-reports/deepseek/deepseek-coder/images/chart_13_training_curve_1.jpg","32991","63d093bdc856b0cd9aa00e9aaba3bc3fe4b5a2a470dcafd0228551eb3a879bf4","verified"
"14-主流开源模型全景解析与技术报告精读/14.1-DeepSeek/01-DeepSeek-Coder/images/chart_14_training_curve_2.jpg","_sources/model-reports/deepseek/deepseek-coder/images/chart_14_training_curve_2.jpg","32814","d9d379d1204a83cbccc9c7c096096cfe08278c884e4238742d8be3beb53e79fa","verified"
"14-主流开源模型全景解析与技术报告精读/14.1-DeepSeek/01-DeepSeek-Coder/images/chart_15_training_curve_3.jpg","_sources/model-reports/deepseek/deepseek-coder/images/chart_15_training_curve_3.jpg","34124","3f2f181103cb50a95721d204aced755ed81dc0883fa34df955ef7d7cbb0259df","verified"
"14-主流开源模型全景解析与技术报告精读/14.1-DeepSeek/01-DeepSeek-Coder/images/chart_16_training_curve_4.jpg","_sources/model-reports/deepseek/deepseek-coder/images/chart_16_training_curve_4.jpg","32117","7f1dae698cddfe5b9af066ac418c54d96f2aecae8965a1c7a2e1c86c28aefb48","verified"
"14-主流开源模型全景解析与技术报告精读/14.1-DeepSeek/01-DeepSeek-Coder/images/chart_17_training_curve_5.jpg","_sources/model-reports/deepseek/deepseek-coder/images/chart_17_training_curve_5.jpg","28130","179325ca71a8610bfb2197db18c8df6c61605aeb370d57f6702ebd25c028cadd","verified"
"14-主流开源模型全景解析与技术报告精读/14.1-DeepSeek/01-DeepSeek-Coder/images/chart_18_training_curve_6.jpg","_sources/model-reports/deepseek/deepseek-coder/images/chart_18_training_curve_6.jpg","30042","fafaf572d1fef7386f996cb0cb3296a08c66fdfe4a43dcac0b3ffb2db6402c93","verified"
